TataMotors,SKF India Ltd
193.75,2216.1
191.1,2196.15
185.65,2152.2
184.7,2130.65
182.55,2133.75
192,2136
196.35,2141.1
196.25,2129.95
195.85,2130.55
200.35,2157.95
197.55,2268.15
197.3,2228.3
195,2180.05
191.4,2182.1
185.6,2180.1
188.4,2203.8
186.5,2206.6
182.2,2202.5
176.1,2173.6
188.05,2144.25
186.2,2089.8
176.6,2070.4
164.8,2063
163.85,2162.5
165.7,2158.05
183.75,2194.15
178.85,2180.9
173.6,2052.15
168.9,2049.2
169.75,2010.4
170.95,2021.95
169.5,2034.9
169.1,1989.1
169.1,1956.55
161.6,1951.95
158.05,1959.3
158.5,1973.3
150.65,1975.3
149.9,1950.35
144.55,1885.4
145.25,1889.4
128.95,1869.8
125.4,1910.9
130.35,1876.25
126.2,1831.85
125.75,1839.1
114.2,1794
105.7,1788.45
98.9,1793.05
88,1733.75
89.75,1760.45
82.95,1764.1
77.95,1702.7
75.5,1648.9
72.95,1556.05
77.3,1552.55
66.2,1244.1
68.55,1311.6
70.25,1351.9
70.8,1490.35
70.7,1479.6
68.15,1401
71.05,1469.6
67.95,1471.4
65.3,1400.85
67.25,1433.8
67.6,1413.85
74.6,1433.75
74.25,1387.05
72.9,1397.55
74.65,1417.7
76.85,1467.45
80.45,1475.3
74.65,1449
75.9,1466.6
75.65,1475.85
74.2,1435.85
75.25,1451.3
76.95,1441.9
78.15,1457.5
93.25,1483.65
83.9,1443.1
80.9,1430.15
83.2,1388.85
82.5,1344.4
81.05,1448.55
86.1,1443.2
86.2,1441.75
87.2,1447.25
83.8,1446
84.35,1450.25
80.65,1444.4
81.8,1405
83.45,1396.75
84.1,1389.5
82.8,1396.45
83.1,1431.35
84.55,1421.45
87,1432.3
87,1443.7
89.55,1449.75
96.5,1450.9
98.75,1457.4
98.5,1464.7
110.75,1468.2
115.45,1518.55
111.45,1486.65
111.4,1490.75
106.15,1493.15
105.3,1448.15
100.5,1432.05
94.75,1445.45
95.4,1463.95
96.35,1504
102.5,1570.25
102.65,1631.65
104.4,1654.7
104.8,1624.8
103.8,1620.7
101.4,1634.5
99.45,1665.1
98.25,1669.15
100.75,1672
101.55,1666.7
103.45,1703.45
109,1781.4
109.05,1799
105.35,1762.6
106.95,1760.2
107.6,1759.5
108,1755
105.15,1677.95
103.2,1622.4
102.95,1579.35
106.4,1569.85
105.05,1582.65
108.45,1565.8
105.15,1563.55
106.05,1572.15
103.75,1574.25
101.7,1542.65
106.45,1494.35
105.75,1470.35
103.65,1492
104.65,1470
113.05,1473.15
111.45,1478.05
115.4,1478.65
116.8,1462.75
119.1,1459.1
123.85,1479.15
122.3,1507.7
125.35,1495.15
131.15,1505.25
124.6,1504.85
123.55,1518.7
125.6,1546.9
125.15,1585.5
121.7,1589.2
120.9,1615.5
121.2,1614.85
127.1,1621.45
137.9,1661.85
144.25,1660.15
142.8,1652.3
143.2,1625.45
143.8,1602.8
150.3,1622.6
151.85,1646.7
147.8,1633.5
149.4,1605.4
142.3,1578.65
140.1,1523.3
143.3,1562.35
144.3,1545.1
148.55,1614.65
148.4,1600.35
151.45,1574.05
147.65,1558.45
147.9,1552.7
137.45,1514.25
133.1,1489.7
131.4,1479.6
122.8,1446.95
127.25,1440.6
132.85,1440.6
131.7,1450.55
133.3,1461.5
133.5,1468.5
133.9,1470.65
144.75,1481.85
141,1477.75
140.95,1481.9
138.45,1484.1
135.9,1467.4
134.1,1453.25
130.7,1454.25
126.95,1452.65
127.75,1468.95
